date,country,device_type,video_category,video_title,users,users_dod,video_plays
2024-07-17,India,mobile,education,Stanley Spadowski's Clubhouse,379,1.0,1214
2024-07-18,India,mobile,education,Stanley Spadowski's Clubhouse,399,1.0542366646888315,583
2024-07-19,India,mobile,education,Stanley Spadowski's Clubhouse,413,1.0358825720971834,648
2024-07-20,India,mobile,education,Stanley Spadowski's Clubhouse,463,1.123183591840402,720
2024-07-21,India,mobile,education,Stanley Spadowski's Clubhouse,543,1.174078384267164,852
2024-07-22,India,mobile,education,Stanley Spadowski's Clubhouse,547,1.0079779314491684,849
2024-07-23,India,mobile,education,Stanley Spadowski's Clubhouse,423,0.7750701504304844,619
2024-07-24,India,mobile,education,Stanley Spadowski's Clubhouse,276,0.654074749984747,425
2024-07-25,India,mobile,education,Stanley Spadowski's Clubhouse,218,0.7904869309716691,345
2024-07-26,India,mobile,education,Stanley Spadowski's Clubhouse,200,0.919651649716427,299
2024-07-27,India,mobile,education,Stanley Spadowski's Clubhouse,220,1.1036715935623536,332
2024-07-28,India,mobile,education,Stanley Spadowski's Clubhouse,278,1.2673889287189664,441
2024-07-29,India,mobile,education,Stanley Spadowski's Clubhouse,403,1.4501322958683895,589
2024-07-30,India,mobile,education,Stanley Spadowski's Clubhouse,595,1.4786019478761039,925
2024-07-31,India,mobile,education,Stanley Spadowski's Clubhouse,726,1.2218019201906056,1150
2024-08-01,India,mobile,education,Stanley Spadowski's Clubhouse,638,0.8797484907711987,962
2024-08-02,India,mobile,education,Stanley Spadowski's Clubhouse,320,0.5022387180840113,497
2024-08-03,India,mobile,education,Stanley Spadowski's Clubhouse,218,0.6829119658737228,316
2024-08-04,India,mobile,education,Stanley Spadowski's Clubhouse,174,0.8021403904427543,266
2024-08-05,India,mobile,education,Stanley Spadowski's Clubhouse,175,1.0113163407041303,259
2024-08-06,India,mobile,education,Stanley Spadowski's Clubhouse,209,1.194988047232996,321
2024-08-07,India,mobile,education,Stanley Spadowski's Clubhouse,291,1.3953512201433815,435
2024-08-08,India,mobile,education,Stanley Spadowski's Clubhouse,436,1.498463936356131,683
2024-08-09,India,mobile,education,Stanley Spadowski's Clubhouse,636,1.4603593257693515,988
2024-08-10,India,mobile,education,Stanley Spadowski's Clubhouse,841,1.323553057735355,1332
2024-08-11,India,mobile,education,Stanley Spadowski's Clubhouse,830,0.9879242474441448,1201
2024-08-12,India,mobile,education,Stanley Spadowski's Clubhouse,169,0.20444253700379666,253
2024-08-13,India,mobile,education,Stanley Spadowski's Clubhouse,71,0.42353113358045913,105
2024-08-14,India,mobile,education,Stanley Spadowski's Clubhouse,43,0.6108754585079863,67
2024-08-15,India,mobile,education,Stanley Spadowski's Clubhouse,35,0.8289338625084963,56
2024-07-17,India,desktop,education,Stanley Spadowski's Clubhouse,1075,1.0,3441
2024-07-18,India,desktop,education,Stanley Spadowski's Clubhouse,1186,1.1035039577834709,1787
2024-07-19,India,desktop,education,Stanley Spadowski's Clubhouse,1288,1.0866752706533354,2020
2024-07-20,India,desktop,education,Stanley Spadowski's Clubhouse,1388,1.0783937044232432,2093
2024-07-21,India,desktop,education,Stanley Spadowski's Clubhouse,1487,1.0714578078690917,2286
2024-07-22,India,desktop,education,Stanley Spadowski's Clubhouse,1296,0.8720231462304763,1894
2024-07-23,India,desktop,education,Stanley Spadowski's Clubhouse,1079,0.8332793356080529,1611
2024-07-24,India,desktop,education,Stanley Spadowski's Clubhouse,868,0.8050697577859021,1375
2024-07-25,India,desktop,education,Stanley Spadowski's Clubhouse,836,0.9639938180260865,1235
2024-07-26,India,desktop,education,Stanley Spadowski's Clubhouse,861,1.0306815937307288,1259
2024-07-27,India,desktop,education,Stanley Spadowski's Clubhouse,1060,1.2316362790198296,1662
2024-07-28,India,desktop,education,Stanley Spadowski's Clubhouse,1345,1.2696552289024654,2028
2024-07-29,India,desktop,education,Stanley Spadowski's Clubhouse,1625,1.2088285943046797,2425
2024-07-30,India,desktop,education,Stanley Spadowski's Clubhouse,1648,1.014438306706161,2559
2024-07-31,India,desktop,education,Stanley Spadowski's Clubhouse,1090,0.6618468943577587,1643
2024-08-01,India,desktop,education,Stanley Spadowski's Clubhouse,763,0.7003483327667572,1138
2024-08-02,India,desktop,education,Stanley Spadowski's Clubhouse,641,0.8412446573110102,967
2024-08-03,India,desktop,education,Stanley Spadowski's Clubhouse,661,1.0321579632005171,1007
2024-08-04,India,desktop,education,Stanley Spadowski's Clubhouse,806,1.220050468251392,1239
2024-08-05,India,desktop,education,Stanley Spadowski's Clubhouse,1047,1.3000304461683145,1610
2024-08-06,India,desktop,education,Stanley Spadowski's Clubhouse,1475,1.4090916866671592,2223
2024-08-07,India,desktop,education,Stanley Spadowski's Clubhouse,1833,1.2430686716429007,2791
2024-08-08,India,desktop,education,Stanley Spadowski's Clubhouse,1773,0.9676020717154408,2672
2024-08-09,India,desktop,education,Stanley Spadowski's Clubhouse,1146,0.6464702339091832,1814
2024-08-10,India,desktop,education,Stanley Spadowski's Clubhouse,808,0.7051079514248142,1230
2024-08-11,India,desktop,education,Stanley Spadowski's Clubhouse,706,0.874621767902249,1032
2024-08-12,India,desktop,education,Stanley Spadowski's Clubhouse,698,0.9893957451184674,1031
2024-08-13,India,desktop,education,Stanley Spadowski's Clubhouse,774,1.1098850186966704,1202
2024-08-14,India,desktop,education,Stanley Spadowski's Clubhouse,982,1.2688089993615097,1420
2024-08-15,India,desktop,education,Stanley Spadowski's Clubhouse,1283,1.3070045630562839,1914
2024-07-17,India,mobile,drama,Conan the Librarian,1343,1.0,4297
2024-07-18,India,mobile,drama,Conan the Librarian,1454,1.0833517351232715,5548
2024-07-19,India,mobile,drama,Conan the Librarian,1588,1.0926690998723654,5651
2024-07-20,India,mobile,drama,Conan the Librarian,1871,1.178673678760853,6932
2024-07-21,India,mobile,drama,Conan the Librarian,2145,1.146719331587223,8025
2024-07-22,India,mobile,drama,Conan the Librarian,1789,0.8343501534642799,6431
2024-07-23,India,mobile,drama,Conan the Librarian,1255,0.7019616180649433,4374
2024-07-24,India,mobile,drama,Conan the Librarian,825,0.6580446360590626,2967
2024-07-25,India,mobile,drama,Conan the Librarian,691,0.8378356640505665,2610
2024-07-26,India,mobile,drama,Conan the Librarian,667,0.965351501260686,2470
2024-07-27,India,mobile,drama,Conan the Librarian,779,1.1688766537485864,2744
2024-07-28,India,mobile,drama,Conan the Librarian,1065,1.3674526193016463,3906
2024-07-29,India,mobile,drama,Conan the Librarian,1570,1.4742520162761272,5930
2024-07-30,India,mobile,drama,Conan the Librarian,2190,1.3952466740240264,8113
2024-07-31,India,mobile,drama,Conan the Librarian,2535,1.157975328733454,9392
2024-08-01,India,mobile,drama,Conan the Librarian,1930,0.7617180106352243,7364
2024-08-02,India,mobile,drama,Conan the Librarian,1093,0.5663318511736843,3847
2024-08-03,India,mobile,drama,Conan the Librarian,766,0.7014511413454299,2783
2024-08-04,India,mobile,drama,Conan the Librarian,691,0.9027717843231453,2409
2024-08-05,India,mobile,drama,Conan the Librarian,751,1.088088886047928,2729
2024-08-06,India,mobile,drama,Conan the Librarian,948,1.2624527836709645,3407
2024-08-07,India,mobile,drama,Conan the Librarian,1326,1.3987501071335346,4862
2024-08-08,India,mobile,drama,Conan the Librarian,1879,1.4172008746376368,7097
2024-08-09,India,mobile,drama,Conan the Librarian,2655,1.413232414594865,10127
2024-08-10,India,mobile,drama,Conan the Librarian,2766,1.0420194715228994,10347
2024-08-11,India,mobile,drama,Conan the Librarian,2069,0.7481618368588249,7892
2024-08-12,India,mobile,drama,Conan the Librarian,750,0.36256214402213616,2723
2024-08-13,India,mobile,drama,Conan the Librarian,419,0.5591879874429874,1568
2024-08-14,India,mobile,drama,Conan the Librarian,308,0.7356827361751377,1164
2024-08-15,India,mobile,drama,Conan the Librarian,288,0.9350928891813949,1056
2024-07-17,India,desktop,drama,Conan the Librarian,0,1.0,0
2024-07-18,India,desktop,drama,Conan the Librarian,0,,0
2024-07-19,India,desktop,drama,Conan the Librarian,0,,0
2024-07-20,India,desktop,drama,Conan the Librarian,0,,0
2024-07-21,India,desktop,drama,Conan the Librarian,0,,0
2024-07-22,India,desktop,drama,Conan the Librarian,0,,0
2024-07-23,India,desktop,drama,Conan the Librarian,0,,0
2024-07-24,India,desktop,drama,Conan the Librarian,0,,0
2024-07-25,India,desktop,drama,Conan the Librarian,0,,0
2024-07-26,India,desktop,drama,Conan the Librarian,0,,0
2024-07-27,India,desktop,drama,Conan the Librarian,0,,0
2024-07-28,India,desktop,drama,Conan the Librarian,0,,0
2024-07-29,India,desktop,drama,Conan the Librarian,0,,0
2024-07-30,India,desktop,drama,Conan the Librarian,0,,0
